Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-3%,85%,3%,82%,-5%,80%,-4%,86%,-9%,72%,-6%,77%
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,88%,na,79%,na,85%,na,90%,na,81%,na,83%
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,0%,62%,-1%,46%,-1%,54%,0%,65%,-1%,45%,-2%,54%
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,62%,na,47%,na,55%,na,65%,na,46%,na,56%
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-5%,37%,3%,33%,-7%,31%,-5%,39%,-4%,23%,-7%,33%
Tomball_ISD_Grade 3 Reading,Tomball_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,42%,na,30%,na,38%,na,44%,na,27%,na,40%
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-7%,83%,-7%,70%,-10%,77%,-9%,84%,-15%,67%,-9%,80%
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,90%,na,77%,na,87%,na,93%,na,82%,na,89%
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-15%,51%,-7%,42%,-15%,42%,-17%,51%,-20%,30%,-14%,47%
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,66%,na,49%,na,57%,na,68%,na,50%,na,61%
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-9%,29%,1%,26%,-8%,22%,-12%,29%,-7%,16%,0%,32%
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,38%,na,25%,na,30%,na,41%,na,23%,na,32%
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-7%,82%,-21%,64%,-7%,76%,-7%,85%,-10%,66%,-4%,76%
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,89%,na,85%,na,83%,na,92%,na,76%,na,80%
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-4%,59%,-21%,34%,-6%,50%,-2%,64%,-5%,37%,5%,52%
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,63%,na,55%,na,56%,na,66%,na,42%,na,47%
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-2%,35%,-12%,19%,-5%,26%,1%,39%,-6%,15%,3%,29%
Tomball_ISD_Grade 4 Reading,Tomball_ISD,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,37%,na,31%,na,31%,na,38%,na,21%,na,26%
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-10%,82%,-45%,45%,-11%,78%,-8%,85%,-18%,66%,-7%,80%
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,92%,na,90%,na,89%,na,93%,na,84%,na,87%
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,-8%,62%,-33%,26%,-11%,53%,-6%,66%,-15%,40%,-3%,60%
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,70%,na,59%,na,64%,na,72%,na,55%,na,63%
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-4%,43%,-21%,9%,-4%,34%,-3%,47%,-8%,21%,4%,42%
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,47%,na,30%,na,38%,na,50%,na,29%,na,38%
Tomball_ISD_Grade 5 Reading+,Tomball_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-13%,73%,-8%,87%,-15%,76%,-11%,83%,-6%,90%,-15%,73%,-7%,84%
Tomball_ISD_Grade 5 Reading+,Tomball_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,95%,na,91%,na,94%,na,96%,na,88%,na,91%
Tomball_ISD_Grade 5 Reading+,Tomball_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,46%,-7%,47%,-7%,65%,-2%,54%,-8%,56%,-7%,70%,-9%,42%,-3%,57%
Tomball_ISD_Grade 5 Reading+,Tomball_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,na,54%,na,54%,na,72%,na,56%,na,64%,na,77%,na,51%,na,60%
Tomball_ISD_Grade 5 Reading+,Tomball_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,30%,1%,31%,3%,49%,7%,40%,2%,40%,4%,54%,2%,27%,6%,39%
Tomball_ISD_Grade 5 Reading+,Tomball_ISD,Grade 5 Reading+,At Masters Grade Level,2019,na,29%,na,30%,na,46%,na,33%,na,38%,na,50%,na,25%,na,33%
Tomball_ISD_Grade 5 Mathematics+,Tomball_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.2,70%,-19%,70%,-8%,90%,-19%,78%,-10%,87%,-7%,91%,-20%,77%,-9%,89%
Tomball_ISD_Grade 5 Mathematics+,Tomball_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,na,90%,na,89%,na,98%,na,97%,na,97%,na,98%,na,97%,na,98%
Tomball_ISD_Grade 5 Mathematics+,Tomball_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,44%,-14%,45%,-8%,70%,-10%,51%,-12%,61%,-6%,73%,-10%,50%,-6%,69%
Tomball_ISD_Grade 5 Mathematics+,Tomball_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,na,58%,na,59%,na,78%,na,61%,na,73%,na,79%,na,60%,na,75%
Tomball_ISD_Grade 5 Mathematics+,Tomball_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,25%,-12%,26%,-12%,46%,-7%,29%,-13%,34%,-9%,51%,-10%,26%,-13%,41%
