Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-7%,79%,15%,85%,-10%,78%,-8%,80%,-8%,75%,-16%,64%
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,86%,na,70%,na,88%,na,88%,na,83%,na,80%
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,-9%,44%,10%,44%,-12%,41%,-10%,46%,-10%,36%,-7%,36%
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,53%,na,34%,na,53%,na,56%,na,46%,na,43%
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-11%,21%,-2%,15%,-13%,19%,-11%,23%,-10%,16%,-5%,17%
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,32%,na,17%,na,32%,na,34%,na,26%,na,22%
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-5%,80%,1%,78%,-7%,77%,-3%,85%,-5%,74%,-2%,71%
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,85%,na,77%,na,84%,na,88%,na,79%,na,73%
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,-10%,40%,10%,44%,-11%,39%,-14%,40%,-9%,34%,-1%,36%
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,50%,na,34%,na,50%,na,54%,na,43%,na,37%
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-11%,13%,-7%,4%,-11%,12%,-14%,15%,-11%,10%,-6%,14%
La_Porte_ISD_Grade 3 Mathematics,La_Porte_ISD,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,24%,na,11%,na,23%,na,29%,na,21%,na,20%
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-11%,75%,-19%,66%,-11%,73%,-9%,80%,-8%,74%,-10%,68%
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,86%,na,85%,na,84%,na,89%,na,82%,na,78%
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-7%,44%,-8%,31%,-8%,42%,-7%,48%,-6%,37%,-2%,34%
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,51%,na,39%,na,50%,na,55%,na,43%,na,36%
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-3%,20%,-7%,10%,-2%,21%,-4%,20%,1%,17%,3%,16%
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,23%,na,17%,na,23%,na,24%,na,16%,na,13%
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,-11%,73%,-16%,52%,-13%,74%,-8%,75%,-14%,67%,-19%,66%
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,84%,na,68%,na,87%,na,83%,na,81%,na,85%
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,-7%,48%,-10%,31%,-7%,49%,-6%,49%,-9%,40%,-20%,30%
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,55%,na,41%,na,56%,na,55%,na,49%,na,50%
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,-2%,27%,-7%,10%,-1%,27%,-1%,29%,-1%,20%,-5%,12%
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,29%,na,17%,na,28%,na,30%,na,21%,na,17%
La_Porte_ISD_Grade 5 Reading+,La_Porte_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-13%,73%,-8%,87%,-5%,78%,-7%,88%,-9%,87%,-8%,85%,-10%,81%
La_Porte_ISD_Grade 5 Reading+,La_Porte_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,95%,na,83%,na,95%,na,96%,na,93%,na,91%
La_Porte_ISD_Grade 5 Reading+,La_Porte_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,46%,-7%,47%,6%,63%,15%,49%,6%,62%,6%,67%,8%,59%,4%,53%
La_Porte_ISD_Grade 5 Reading+,La_Porte_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,na,54%,na,54%,na,57%,na,34%,na,56%,na,61%,na,51%,na,49%
La_Porte_ISD_Grade 5 Reading+,La_Porte_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,30%,1%,31%,8%,40%,-7%,19%,11%,40%,5%,43%,9%,35%,0%,28%
La_Porte_ISD_Grade 5 Reading+,La_Porte_ISD,Grade 5 Reading+,At Masters Grade Level,2019,na,29%,na,30%,na,32%,na,26%,na,29%,na,38%,na,26%,na,28%
La_Porte_ISD_Grade 5 Mathematics+,La_Porte_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.2,70%,-19%,70%,-9%,89%,-8%,89%,-8%,90%,-9%,89%,-12%,87%,-14%,86%
La_Porte_ISD_Grade 5 Mathematics+,La_Porte_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,na,90%,na,89%,na,98%,na,97%,na,98%,na,98%,na,99%,na,100%
La_Porte_ISD_Grade 5 Mathematics+,La_Porte_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,44%,-14%,45%,-7%,67%,-14%,46%,-2%,71%,-11%,66%,-3%,64%,-6%,61%
La_Porte_ISD_Grade 5 Mathematics+,La_Porte_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,na,58%,na,59%,na,74%,na,60%,na,73%,na,77%,na,67%,na,67%
La_Porte_ISD_Grade 5 Mathematics+,La_Porte_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,25%,-12%,26%,-9%,38%,-26%,14%,-6%,40%,-10%,40%,-6%,33%,-10%,31%
La_Porte_ISD_Grade 5 Mathematics+,La_Porte_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,na,36%,na,38%,na,47%,na,40%,na,46%,na,50%,na,39%,na,41%
La_Porte_ISD_Grade 5 Science,La_Porte_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,62%,-13%,62%,-4%,81%,-12%,62%,-2%,81%,-5%,84%,-1%,78%,-1%,71%
La_Porte_ISD_Grade 5 Science,La_Porte_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,85%,na,74%,na,83%,na,89%,na,79%,na,72%
La_Porte_ISD_Grade 5 Science,La_Porte_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,31%,-18%,32%,-10%,45%,-15%,22%,-11%,41%,-8%,55%,-5%,41%,-5%,25%
La_Porte_ISD_Grade 5 Science,La_Porte_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,na,49%,na,50%,na,55%,na,37%,na,52%,na,63%,na,46%,na,30%
La_Porte_ISD_Grade 5 Science,La_Porte_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,13%,-11%,14%,-10%,18%,-11%,3%,-6%,17%,-14%,22%,-6%,16%,-4%,10%
La_Porte_ISD_Grade 5 Science,La_Porte_ISD,Grade 5 Science,At Masters Grade Level,2019,na,24%,na,25%,na,28%,na,14%,na,23%,na,36%,na,22%,na,14%
