Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,94%,93%,93%,94%,*,97%,*,90%,59%,100%,95%,94%,93%,94%
,2018,77%,78%,94%,92%,93%,93%,-,100%,-,78%,50%,86%,96%,93%,93%,96%
At Meets Grade Level or Above,2019,47%,48%,79%,73%,66%,77%,*,91%,*,90%,18%,40%,82%,76%,75%,80%
,2018,44%,46%,78%,71%,76%,64%,-,95%,-,67%,33%,57%,82%,74%,73%,74%
At Masters Grade Level,2019,21%,22%,53%,46%,37%,42%,*,71%,*,70%,9%,40%,61%,46%,46%,51%
,2018,18%,20%,48%,40%,30%,40%,-,73%,-,22%,17%,29%,51%,45%,40%,44%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,90%,88%,84%,86%,*,95%,-,88%,56%,80%,93%,87%,88%,86%
,2018,74%,76%,93%,93%,86%,95%,-,95%,*,100%,61%,*,93%,93%,88%,90%
At Meets Grade Level or Above,2019,49%,51%,67%,64%,56%,67%,*,76%,-,50%,28%,40%,78%,60%,60%,58%
,2018,48%,50%,77%,79%,68%,77%,-,77%,*,94%,33%,*,76%,78%,75%,72%
At Masters Grade Level,2019,29%,31%,48%,47%,34%,47%,*,58%,-,38%,17%,0%,58%,41%,39%,33%
,2018,29%,30%,59%,65%,40%,63%,-,64%,*,61%,28%,*,62%,57%,59%,51%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,91%,85%,91%,92%,*,97%,-,75%,39%,80%,96%,88%,89%,93%
,2018,72%,75%,92%,88%,89%,95%,-,98%,*,95%,60%,*,93%,92%,89%,95%
At Meets Grade Level or Above,2019,43%,46%,73%,67%,61%,73%,*,87%,-,50%,22%,80%,85%,65%,65%,67%
,2018,40%,43%,77%,73%,65%,78%,-,92%,*,89%,32%,*,79%,76%,74%,78%
At Masters Grade Level,2019,17%,18%,45%,37%,28%,51%,*,59%,-,38%,11%,40%,60%,35%,36%,36%
,2018,18%,20%,60%,54%,39%,64%,-,78%,*,84%,16%,*,59%,61%,56%,62%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,85%,81%,77%,88%,*,93%,-,63%,28%,67%,91%,81%,81%,84%
,2018,69%,69%,92%,93%,85%,91%,-,95%,*,95%,55%,*,90%,93%,89%,90%
At Meets Grade Level or Above,2019,42%,43%,63%,58%,42%,65%,*,77%,-,50%,22%,17%,74%,55%,56%,54%
,2018,43%,44%,73%,71%,61%,76%,-,83%,*,79%,30%,*,73%,73%,74%,69%
At Masters Grade Level,2019,18%,19%,31%,27%,15%,29%,*,47%,-,0%,6%,0%,43%,23%,25%,21%
,2018,15%,16%,33%,33%,16%,38%,-,41%,*,47%,15%,*,32%,34%,32%,22%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,96%,95%,93%,100%,*,98%,-,100%,77%,*,96%,96%,95%,93%
,2018,86%,86%,97%,94%,100%,96%,*,97%,-,100%,78%,*,96%,97%,97%,91%
At Meets Grade Level or Above,2019,55%,56%,77%,74%,61%,86%,*,85%,-,100%,33%,*,78%,75%,71%,63%
,2018,49%,51%,71%,67%,61%,73%,*,77%,-,100%,39%,*,70%,72%,64%,57%
At Masters Grade Level,2019,28%,30%,51%,47%,36%,68%,*,54%,-,80%,10%,*,59%,42%,44%,36%
,2018,27%,28%,43%,43%,35%,37%,*,50%,-,40%,17%,*,41%,44%,35%,31%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,95%,92%,96%,90%,*,100%,-,*,79%,-,94%,96%,96%,98%
,2018,86%,87%,94%,92%,95%,92%,-,96%,-,*,62%,*,94%,93%,96%,93%
At Meets Grade Level or Above,2019,57%,58%,66%,62%,60%,62%,*,86%,-,*,45%,-,70%,64%,65%,60%
,2018,51%,52%,69%,62%,76%,65%,-,72%,-,*,31%,*,69%,69%,66%,67%
At Masters Grade Level,2019,17%,18%,22%,20%,15%,14%,*,36%,-,*,14%,-,22%,22%,21%,22%
,2018,15%,16%,30%,32%,16%,23%,-,38%,-,*,23%,*,31%,29%,27%,19%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,89%,83%,83%,98%,*,96%,-,100%,60%,*,91%,87%,86%,85%
,2018,76%,77%,87%,84%,77%,90%,*,91%,-,100%,42%,*,88%,85%,85%,78%
At Meets Grade Level or Above,2019,51%,52%,63%,61%,49%,68%,*,73%,-,93%,27%,*,68%,58%,56%,48%
,2018,52%,53%,62%,58%,54%,61%,*,69%,-,100%,42%,*,59%,66%,52%,44%
At Masters Grade Level,2019,25%,27%,34%,30%,29%,32%,*,37%,-,67%,17%,*,40%,26%,29%,23%
,2018,28%,29%,34%,27%,30%,29%,*,42%,-,100%,32%,*,31%,38%,25%,27%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,75%,73%,63%,66%,*,91%,-,87%,50%,*,78%,73%,71%,70%
,2018,65%,66%,74%,69%,68%,76%,*,80%,-,100%,53%,*,72%,77%,70%,64%
At Meets Grade Level or Above,2019,37%,38%,43%,49%,25%,45%,*,45%,-,67%,27%,*,47%,38%,38%,30%
,2018,36%,37%,37%,31%,19%,27%,*,53%,-,80%,32%,*,36%,38%,32%,29%
At Masters Grade Level,2019,21%,23%,25%,25%,15%,25%,*,29%,-,53%,10%,*,29%,20%,22%,15%
,2018,21%,22%,17%,17%,7%,8%,*,26%,-,80%,11%,*,17%,18%,12%,14%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,88%,81%,85%,90%,-,93%,-,100%,53%,*,91%,85%,83%,76%
,2018,65%,65%,88%,86%,87%,88%,-,91%,-,*,41%,100%,90%,86%,86%,70%
At Meets Grade Level or Above,2019,50%,50%,79%,73%,67%,85%,-,88%,-,92%,39%,*,83%,75%,72%,62%
,2018,44%,45%,78%,70%,76%,84%,-,82%,-,*,26%,75%,81%,75%,76%,50%
At Masters Grade Level,2019,11%,11%,25%,26%,12%,31%,-,29%,-,42%,17%,*,26%,24%,17%,10%
,2018,7%,8%,17%,16%,9%,22%,-,22%,-,*,7%,0%,24%,9%,10%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,88%,88%,83%,95%,*,85%,-,100%,54%,*,92%,79%,84%,62%
,2018,67%,67%,87%,91%,84%,87%,*,88%,*,83%,41%,100%,86%,88%,79%,61%
At Meets Grade Level or Above,2019,49%,50%,75%,73%,69%,80%,*,75%,-,92%,36%,*,82%,62%,70%,31%
,2018,48%,48%,77%,75%,73%,75%,*,82%,*,67%,21%,60%,77%,76%,68%,43%
At Masters Grade Level,2019,8%,9%,20%,15%,14%,24%,*,24%,-,33%,14%,*,24%,13%,11%,0%
,2018,8%,9%,21%,22%,12%,13%,*,31%,*,17%,3%,0%,25%,16%,18%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,90%,86%,87%,91%,-,95%,-,100%,61%,*,94%,87%,90%,90%
,2018,83%,83%,94%,87%,93%,96%,*,99%,-,*,67%,100%,92%,97%,92%,95%
At Meets Grade Level or Above,2019,61%,61%,77%,74%,58%,82%,-,88%,-,94%,32%,*,80%,73%,71%,74%
,2018,55%,55%,74%,66%,64%,73%,*,88%,-,*,22%,50%,72%,77%,73%,70%
At Masters Grade Level,2019,37%,38%,59%,57%,42%,64%,-,69%,-,76%,18%,*,67%,50%,50%,51%
,2018,32%,34%,54%,51%,36%,54%,*,70%,-,*,11%,17%,51%,58%,50%,46%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,94%,91%,96%,95%,-,96%,-,90%,62%,-,95%,94%,92%,88%
,2018,87%,86%,95%,92%,95%,97%,-,96%,-,*,78%,100%,95%,95%,94%,90%
At Meets Grade Level or Above,2019,62%,63%,82%,75%,72%,91%,-,90%,-,90%,50%,-,86%,79%,77%,67%
,2018,59%,60%,75%,75%,63%,86%,-,78%,-,*,37%,56%,79%,70%,73%,41%
At Masters Grade Level,2019,25%,28%,45%,38%,31%,57%,-,53%,-,60%,12%,-,48%,42%,35%,25%
,2018,24%,26%,40%,35%,28%,44%,-,51%,-,*,11%,22%,47%,33%,35%,20%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,97%,93%,98%,96%,-,100%,-,100%,70%,-,96%,99%,96%,96%
,2018,92%,91%,96%,94%,93%,95%,*,99%,-,100%,69%,*,95%,99%,93%,92%
At Meets Grade Level or Above,2019,73%,75%,87%,82%,81%,87%,-,94%,-,90%,45%,-,86%,89%,82%,56%
,2018,70%,71%,86%,86%,81%,84%,*,90%,-,89%,31%,*,87%,84%,81%,52%
At Masters Grade Level,2019,45%,49%,63%,59%,57%,69%,-,64%,-,70%,25%,-,62%,64%,57%,28%
,2018,40%,43%,62%,62%,53%,63%,*,66%,-,78%,25%,*,63%,61%,57%,32%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,90%,87%,86%,91%,92%,95%,80%,92%,59%,91%,92%,88%,88%,88%
,2018,77%,77%,90%,89%,86%,91%,100%,95%,80%,93%,60%,88%,91%,90%,88%,87%
At Meets Grade Level or Above,2019,50%,51%,69%,64%,55%,73%,75%,79%,40%,73%,32%,52%,72%,64%,62%,61%
,2018,48%,49%,68%,65%,58%,66%,100%,79%,60%,77%,32%,62%,70%,67%,64%,60%
At Masters Grade Level,2019,24%,25%,40%,37%,26%,44%,25%,49%,40%,44%,14%,30%,44%,35%,33%,32%
,2018,22%,23%,38%,36%,25%,36%,71%,50%,50%,50%,14%,26%,40%,37%,33%,32%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,91%,89%,86%,93%,100%,94%,*,95%,61%,87%,93%,88%,88%,87%
,2018,74%,74%,91%,91%,87%,90%,*,94%,*,92%,57%,89%,92%,89%,88%,86%
At Meets Grade Level or Above,2019,48%,49%,70%,66%,59%,74%,100%,78%,*,73%,31%,53%,74%,65%,63%,59%
,2018,46%,47%,70%,70%,61%,67%,*,78%,*,80%,30%,63%,72%,68%,66%,57%
At Masters Grade Level,2019,21%,22%,38%,38%,24%,44%,20%,44%,*,38%,14%,30%,42%,33%,31%,30%
,2018,19%,20%,36%,38%,23%,33%,*,44%,*,40%,9%,29%,39%,32%,32%,29%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,92%,90%,90%,92%,*,97%,*,91%,63%,96%,94%,91%,91%,93%
,2018,81%,82%,94%,91%,90%,95%,*,99%,*,92%,68%,93%,94%,94%,92%,93%
