Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.82,0.72,0.79,0.89,0.75,0.90,*,0.87,0.51,0.84,0.76,0.74,0.75
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.75,0.63,0.70,0.85,0.78,0.85,*,0.75,0.48,0.78,0.65,0.66,0.68
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.58,0.42,0.52,0.71,0.50,0.73,*,0.65,0.28,0.61,0.49,0.46,0.47
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.44,0.33,0.35,0.58,0.44,0.58,*,0.51,0.26,0.47,0.33,0.32,0.33
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.35,0.20,0.28,0.47,0.50,0.51,*,0.42,0.13,0.37,0.27,0.22,0.24
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.23,0.14,0.15,0.33,0.22,0.33,*,0.35,0.11,0.25,0.17,0.15,0.15
Klein_ISD_Grade 3 Mathematics,Klein_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.78,0.63,0.75,0.87,0.75,0.94,*,0.81,0.48,0.80,0.73,0.70,0.75
Klein_ISD_Grade 3 Mathematics,Klein_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.72,0.54,0.67,0.83,0.78,0.87,*,0.75,0.47,0.74,0.63,0.61,0.70
Klein_ISD_Grade 3 Mathematics,Klein_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.51,0.33,0.45,0.63,0.58,0.76,*,0.58,0.28,0.54,0.42,0.39,0.45
Klein_ISD_Grade 3 Mathematics,Klein_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.38,0.22,0.29,0.52,0.44,0.56,*,0.42,0.25,0.41,0.27,0.26,0.32
