Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.87,0.80,0.81,0.93,0.88,0.94,0.89,0.89,0.62,0.88,0.83,0.78,0.85
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.85,0.74,0.78,0.92,0.88,0.93,1.00,0.90,0.60,0.87,0.79,0.73,0.82
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.68,0.57,0.58,0.75,0.81,0.84,0.78,0.70,0.37,0.69,0.63,0.52,0.62
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.58,0.45,0.47,0.68,0.63,0.75,0.83,0.63,0.30,0.61,0.51,0.40,0.53
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.45,0.33,0.34,0.51,0.50,0.65,0.67,0.44,0.16,0.46,0.41,0.29,0.41
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.33,0.21,0.24,0.42,0.13,0.48,0.17,0.35,0.14,0.35,0.29,0.18,0.29
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.83,0.70,0.75,0.89,0.88,0.95,0.89,0.85,0.57,0.84,0.77,0.70,0.82
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.80,0.65,0.72,0.88,0.88,0.94,1.00,0.85,0.55,0.82,0.74,0.66,0.79
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.58,0.42,0.46,0.65,0.63,0.84,0.67,0.62,0.32,0.61,0.51,0.40,0.57
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.49,0.29,0.35,0.61,0.38,0.74,0.33,0.52,0.27,0.52,0.42,0.29,0.46
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.34,0.19,0.24,0.38,0.44,0.62,0.56,0.33,0.12,0.36,0.28,0.19,0.34
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.27,0.13,0.17,0.32,0.25,0.50,0.17,0.26,0.11,0.29,0.22,0.13,0.25
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.86,0.77,0.81,0.91,0.85,0.95,1.00,0.89,0.61,0.88,0.82,0.78,0.85
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.81,0.68,0.74,0.87,0.58,0.94,*,0.81,0.51,0.83,0.78,0.68,0.79
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.69,0.58,0.59,0.75,0.62,0.85,0.67,0.71,0.36,0.71,0.63,0.53,0.66
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.56,0.40,0.42,0.65,0.17,0.78,*,0.55,0.27,0.59,0.50,0.37,0.51
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.41,0.30,0.30,0.46,0.15,0.63,0.33,0.48,0.14,0.43,0.36,0.26,0.38
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.32,0.19,0.21,0.37,0.00,0.53,*,0.31,0.10,0.34,0.28,0.16,0.29
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.81,0.68,0.74,0.88,0.85,0.95,1.00,0.86,0.52,0.84,0.75,0.69,0.81
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.79,0.61,0.69,0.87,0.75,0.96,*,0.78,0.50,0.82,0.73,0.62,0.77
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.58,0.38,0.46,0.66,0.46,0.86,0.67,0.61,0.31,0.62,0.50,0.39,0.57
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.59,0.37,0.44,0.69,0.50,0.85,*,0.60,0.34,0.63,0.50,0.37,0.56
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.37,0.20,0.24,0.43,0.23,0.69,0.22,0.38,0.12,0.40,0.30,0.19,0.37
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.41,0.19,0.26,0.49,0.25,0.71,*,0.40,0.16,0.45,0.34,0.20,0.39
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.90,0.84,0.86,0.94,0.69,0.97,1.00,0.93,0.64,0.91,0.88,0.84,0.89
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.88,0.79,0.84,0.92,0.82,0.97,0.50,0.91,0.63,0.90,0.85,0.79,0.87
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.74,0.58,0.64,0.81,0.56,0.91,0.67,0.79,0.39,0.76,0.67,0.59,0.72
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.66,0.54,0.56,0.72,0.59,0.85,0.17,0.71,0.34,0.69,0.60,0.49,0.61
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.54,0.38,0.40,0.61,0.38,0.78,0.50,0.55,0.19,0.57,0.47,0.36,0.51
Katy_ISD_Grade 5 Reading,Katy_ISD,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.49,0.37,0.37,0.55,0.41,0.73,0.17,0.55,0.17,0.53,0.42,0.30,0.43
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.87,0.75,0.81,0.93,0.81,0.98,1.00,0.91,0.62,0.90,0.82,0.77,0.87
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.86,0.71,0.81,0.92,0.88,0.98,1.00,0.87,0.63,0.89,0.80,0.75,0.85
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.66,0.46,0.53,0.73,0.50,0.91,0.67,0.70,0.33,0.69,0.58,0.46,0.65
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.66,0.45,0.54,0.74,0.65,0.91,0.67,0.71,0.36,0.70,0.57,0.46,0.63
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.42,0.22,0.28,0.46,0.25,0.77,0.50,0.42,0.14,0.46,0.33,0.23,0.44
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.45,0.26,0.30,0.51,0.47,0.74,0.17,0.53,0.14,0.48,0.36,0.23,0.41
Katy_ISD_Grade 5 Science,Katy_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.83,0.66,0.75,0.90,0.69,0.96,0.83,0.83,0.55,0.86,0.75,0.69,0.80
Katy_ISD_Grade 5 Science,Katy_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.81,0.67,0.73,0.89,0.88,0.95,0.50,0.86,0.54,0.85,0.74,0.66,0.76
Katy_ISD_Grade 5 Science,Katy_ISD,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.58,0.35,0.44,0.68,0.25,0.82,0.33,0.61,0.30,0.62,0.48,0.38,0.55
Katy_ISD_Grade 5 Science,Katy_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.52,0.35,0.38,0.60,0.71,0.78,0.17,0.64,0.26,0.56,0.44,0.31,0.46
Katy_ISD_Grade 5 Science,Katy_ISD,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.33,0.16,0.21,0.38,0.00,0.60,0.17,0.32,0.12,0.36,0.26,0.17,0.32
Katy_ISD_Grade 5 Science,Katy_ISD,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.26,0.12,0.14,0.31,0.41,0.49,0.00,0.36,0.08,0.29,0.18,0.10,0.22
Katy_ISD_Grade 6 Reading,Katy_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.84,0.75,0.76,0.90,0.69,0.97,0.63,0.86,0.54,0.86,0.79,0.72,0.79
Katy_ISD_Grade 6 Reading,Katy_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.83,0.74,0.75,0.89,0.88,0.94,*,0.86,0.48,0.85,0.76,0.69,0.77
Katy_ISD_Grade 6 Reading,Katy_ISD,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.61,0.47,0.48,0.69,0.63,0.85,0.25,0.63,0.28,0.65,0.53,0.42,0.54
Katy_ISD_Grade 6 Reading,Katy_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.55,0.42,0.43,0.62,0.46,0.76,*,0.61,0.22,0.59,0.46,0.36,0.47
Katy_ISD_Grade 6 Reading,Katy_ISD,Grade 6 Reading,At Masters Grade Level,2022,0.23,0.24,0.37,0.26,0.24,0.42,0.56,0.62,0.13,0.37,0.11,0.40,0.29,0.20,0.31
