Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Southwest_School_Grade 3 Reading,Southwest_School,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.54,0.80,0.52,-,-,*,-,*,0.24,0.58,0.41,0.56,0.51
Southwest_School_Grade 3 Reading,Southwest_School,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.48,0.80,0.46,*,-,-,-,-,0.17,0.55,0.30,0.46,0.43
Southwest_School_Grade 3 Reading,Southwest_School,Grade 3 Reading,At Meets Grade Level or Above,2022,0.51,0.52,0.21,0.20,0.21,-,-,*,-,*,0.06,0.24,0.09,0.21,0.21
Southwest_School_Grade 3 Reading,Southwest_School,Grade 3 Reading,At Meets Grade Level or Above,2021,0.39,0.39,0.19,0.20,0.19,*,-,-,-,-,0.08,0.23,0.09,0.19,0.18
Southwest_School_Grade 3 Reading,Southwest_School,Grade 3 Reading,At Masters Grade Level,2022,0.30,0.31,0.11,0.20,0.10,-,-,*,-,*,0.00,0.12,0.05,0.11,0.10
Southwest_School_Grade 3 Reading,Southwest_School,Grade 3 Reading,At Masters Grade Level,2021,0.19,0.20,0.03,0.00,0.03,*,-,-,-,-,0.00,0.04,0.00,0.02,0.03
Southwest_School_Grade 3 Mathematics,Southwest_School,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.53,0.60,0.52,-,-,*,-,*,0.18,0.54,0.45,0.54,0.53
Southwest_School_Grade 3 Mathematics,Southwest_School,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.53,0.80,0.51,*,-,-,-,-,0.25,0.59,0.39,0.52,0.53
Southwest_School_Grade 3 Mathematics,Southwest_School,Grade 3 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.21,0.00,0.21,-,-,*,-,*,0.06,0.24,0.05,0.20,0.20
Southwest_School_Grade 3 Mathematics,Southwest_School,Grade 3 Mathematics,At Meets Grade Level or Above,2021,0.31,0.31,0.17,0.40,0.16,*,-,-,-,-,0.00,0.20,0.09,0.15,0.15
Southwest_School_Grade 3 Mathematics,Southwest_School,Grade 3 Mathematics,At Masters Grade Level,2022,0.21,0.22,0.07,0.00,0.07,-,-,*,-,*,0.00,0.08,0.05,0.07,0.07
Southwest_School_Grade 3 Mathematics,Southwest_School,Grade 3 Mathematics,At Masters Grade Level,2021,0.14,0.15,0.03,0.00,0.04,*,-,-,-,-,0.00,0.02,0.06,0.04,0.04
Southwest_School_Grade 4 Reading,Southwest_School,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.62,*,0.61,-,-,-,-,-,0.31,0.76,0.42,0.63,0.60
Southwest_School_Grade 4 Reading,Southwest_School,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.39,0.69,0.35,-,*,-,-,-,0.00,0.41,0.35,0.38,0.34
Southwest_School_Grade 4 Reading,Southwest_School,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.37,*,0.36,-,-,-,-,-,0.06,0.47,0.21,0.36,0.34
Southwest_School_Grade 4 Reading,Southwest_School,Grade 4 Reading,At Meets Grade Level or Above,2021,0.36,0.37,0.11,0.23,0.10,-,*,-,-,-,0.00,0.12,0.10,0.11,0.10
Southwest_School_Grade 4 Reading,Southwest_School,Grade 4 Reading,At Masters Grade Level,2022,0.28,0.30,0.16,*,0.16,-,-,-,-,-,0.00,0.17,0.14,0.15,0.13
Southwest_School_Grade 4 Reading,Southwest_School,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.02,0.00,0.03,-,*,-,-,-,0.00,0.04,0.00,0.03,0.02
Southwest_School_Grade 4 Mathematics,Southwest_School,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.70,0.70,0.57,*,0.57,-,-,-,-,-,0.13,0.65,0.44,0.57,0.56
Southwest_School_Grade 4 Mathematics,Southwest_School,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.60,0.35,0.38,0.35,-,*,-,-,-,0.08,0.37,0.30,0.35,0.34
Southwest_School_Grade 4 Mathematics,Southwest_School,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.26,*,0.25,-,-,-,-,-,0.13,0.30,0.19,0.25,0.22
Southwest_School_Grade 4 Mathematics,Southwest_School,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.09,0.00,0.10,-,*,-,-,-,0.00,0.07,0.13,0.10,0.11
Southwest_School_Grade 4 Mathematics,Southwest_School,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.09,*,0.08,-,-,-,-,-,0.06,0.11,0.07,0.10,0.09
Southwest_School_Grade 4 Mathematics,Southwest_School,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.02,0.00,0.03,-,*,-,-,-,0.00,0.04,0.00,0.03,0.03
Southwest_School_Grade 5 Reading,Southwest_School,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.74,0.88,0.72,-,*,-,-,-,0.62,0.83,0.53,0.73,0.71
Southwest_School_Grade 5 Reading,Southwest_School,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.50,0.88,0.47,*,-,-,-,-,0.14,0.61,0.27,0.50,0.44
Southwest_School_Grade 5 Reading,Southwest_School,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.45,0.63,0.43,-,*,-,-,-,0.31,0.49,0.35,0.43,0.41
Southwest_School_Grade 5 Reading,Southwest_School,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.26,0.63,0.23,*,-,-,-,-,0.00,0.34,0.11,0.25,0.23
Southwest_School_Grade 5 Reading,Southwest_School,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.27,0.38,0.26,-,*,-,-,-,0.08,0.32,0.18,0.27,0.24
Southwest_School_Grade 5 Reading,Southwest_School,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.13,0.50,0.10,*,-,-,-,-,0.00,0.16,0.08,0.11,0.10
Southwest_School_Grade 5 Mathematics,Southwest_School,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.73,0.88,0.72,-,*,-,-,-,0.77,0.82,0.55,0.73,0.71
