Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.75,0.62,0.65,0.93,*,0.93,*,0.80,0.34,0.77,0.70,0.63,0.65
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.62,0.40,0.50,0.84,0.33,0.90,-,0.80,0.28,0.64,0.56,0.46,0.47
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.52,0.41,0.36,0.79,*,0.83,*,0.68,0.21,0.54,0.47,0.34,0.36
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.41,0.23,0.29,0.64,0.22,0.72,-,0.61,0.10,0.43,0.37,0.24,0.27
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.36,0.23,0.20,0.64,*,0.65,*,0.53,0.08,0.39,0.30,0.18,0.20
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.80,0.59,0.73,0.95,0.63,1.00,-,0.92,0.45,0.82,0.74,0.70,0.74
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.77,0.56,0.68,0.94,*,0.97,*,0.83,0.42,0.79,0.70,0.65,0.68
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.56,0.31,0.43,0.81,0.38,0.93,-,0.77,0.25,0.59,0.49,0.40,0.45
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.55,0.31,0.40,0.82,*,0.89,*,0.67,0.25,0.57,0.47,0.36,0.41
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.32,0.11,0.20,0.54,0.00,0.72,-,0.45,0.08,0.34,0.26,0.16,0.21
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.36,0.17,0.21,0.63,*,0.77,*,0.47,0.11,0.38,0.30,0.18,0.23
Spring_Branch_ISD_Grade 5 Science,Spring_Branch_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.68,0.44,0.59,0.87,0.33,0.93,-,0.86,0.36,0.71,0.61,0.55,0.57
Spring_Branch_ISD_Grade 5 Science,Spring_Branch_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.66,0.52,0.53,0.89,*,0.89,*,0.77,0.32,0.69,0.57,0.50,0.52
Spring_Branch_ISD_Grade 5 Science,Spring_Branch_ISD,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.42,0.17,0.30,0.63,0.22,0.79,-,0.59,0.20,0.44,0.35,0.25,0.28
Spring_Branch_ISD_Grade 5 Science,Spring_Branch_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.38,0.22,0.22,0.66,*,0.75,*,0.52,0.18,0.41,0.31,0.19,0.22
Spring_Branch_ISD_Grade 5 Science,Spring_Branch_ISD,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.22,0.06,0.13,0.39,0.11,0.53,-,0.34,0.05,0.23,0.19,0.10,0.13
Spring_Branch_ISD_Grade 5 Science,Spring_Branch_ISD,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.19,0.08,0.07,0.37,*,0.48,*,0.29,0.06,0.20,0.14,0.05,0.08
Spring_Branch_ISD_Grade 6 Reading,Spring_Branch_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.70,0.55,0.57,0.91,*,0.93,*,0.85,0.29,0.72,0.62,0.54,0.54
Spring_Branch_ISD_Grade 6 Reading,Spring_Branch_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.62,0.52,0.48,0.86,0.43,0.83,-,0.92,0.23,0.63,0.57,0.44,0.44
