Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
DEER PARK ISD (101908) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,15%,16%,15%,0%,11%,21%,-,60%,-,14%,4%,17%,17%,9%,9%,9%
,2019,18%,19%,16%,12%,13%,21%,-,0%,-,17%,1%,18%,17%,14%,10%,8%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,85%,71%,82%,91%,-,*,-,86%,60%,100%,87%,81%,78%,80%
,2019,81%,81%,86%,67%,84%,90%,-,89%,-,88%,55%,92%,87%,84%,82%,84%
At Meets Grade Level or Above,2021,36%,37%,51%,13%,45%,63%,-,*,-,52%,27%,50%,55%,39%,41%,45%
,2019,47%,48%,54%,19%,49%,62%,-,89%,-,76%,30%,62%,55%,51%,44%,47%
At Masters Grade Level,2021,15%,17%,18%,4%,16%,23%,-,*,-,10%,6%,25%,19%,14%,12%,12%
,2019,21%,22%,22%,10%,19%,27%,-,67%,-,36%,12%,35%,24%,19%,14%,13%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,79%,71%,77%,83%,-,100%,-,76%,43%,73%,81%,73%,73%,75%
,2019,76%,77%,80%,75%,76%,84%,*,100%,-,90%,38%,82%,82%,75%,73%,71%
At Meets Grade Level or Above,2021,45%,47%,54%,38%,49%,61%,-,100%,-,60%,25%,36%,55%,50%,46%,47%
,2019,49%,51%,49%,36%,42%,60%,*,64%,-,60%,15%,55%,51%,42%,40%,34%
At Masters Grade Level,2021,25%,27%,30%,14%,26%,36%,-,80%,-,24%,8%,18%,31%,26%,22%,23%
,2019,29%,31%,28%,11%,22%,37%,*,43%,-,40%,7%,9%,30%,24%,20%,17%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,74%,62%,71%,79%,-,*,-,68%,49%,67%,76%,67%,66%,67%
,2019,75%,77%,86%,75%,84%,90%,*,83%,-,88%,53%,100%,87%,85%,80%,81%
At Meets Grade Level or Above,2021,27%,29%,39%,19%,34%,47%,-,*,-,50%,20%,33%,40%,37%,30%,34%
,2019,43%,46%,56%,32%,52%,63%,*,50%,-,50%,22%,67%,58%,48%,47%,51%
At Masters Grade Level,2021,12%,13%,15%,10%,14%,17%,-,*,-,5%,8%,20%,15%,16%,10%,13%
,2019,17%,18%,20%,11%,18%,24%,*,50%,-,38%,5%,33%,21%,19%,15%,19%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,72%,55%,70%,77%,-,100%,-,76%,31%,55%,73%,69%,67%,65%
,2019,70%,72%,75%,57%,72%,78%,*,93%,-,95%,25%,82%,75%,73%,67%,68%
At Meets Grade Level or Above,2021,33%,34%,36%,23%,30%,43%,-,70%,-,48%,14%,32%,37%,30%,26%,28%
,2019,42%,43%,47%,36%,42%,55%,*,71%,-,50%,8%,36%,49%,42%,39%,37%
At Masters Grade Level,2021,10%,10%,8%,0%,7%,8%,-,20%,-,4%,2%,5%,8%,7%,5%,5%
,2019,18%,19%,19%,18%,15%,23%,*,50%,-,20%,4%,0%,20%,15%,12%,11%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,84%,65%,82%,88%,-,91%,-,86%,43%,75%,85%,79%,77%,79%
,2019,86%,86%,91%,81%,89%,93%,*,100%,*,100%,53%,88%,92%,88%,88%,87%
At Meets Grade Level or Above,2021,46%,48%,56%,35%,52%,63%,-,73%,-,55%,23%,50%,58%,48%,46%,47%
,2019,55%,56%,61%,48%,55%,73%,*,100%,*,47%,26%,50%,62%,57%,53%,49%
At Masters Grade Level,2021,21%,22%,24%,15%,21%,30%,-,45%,-,23%,3%,38%,26%,19%,17%,18%
,2019,28%,30%,29%,11%,23%,40%,*,67%,*,26%,8%,19%,31%,24%,21%,18%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,88%,67%,86%,92%,-,93%,-,86%,58%,100%,89%,83%,83%,85%
,2019,88%,88%,95%,86%,94%,98%,-,100%,*,100%,75%,94%,96%,93%,94%,91%
At Meets Grade Level or Above,2021,36%,37%,70%,42%,68%,75%,-,93%,-,64%,34%,87%,73%,60%,61%,67%
,2019,57%,58%,76%,52%,72%,84%,-,100%,*,90%,37%,61%,79%,66%,67%,68%
At Masters Grade Level,2021,11%,11%,32%,8%,31%,35%,-,67%,-,23%,10%,53%,35%,20%,23%,28%
,2019,17%,18%,37%,34%,29%,47%,-,85%,*,50%,13%,28%,40%,27%,27%,29%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,86%,65%,84%,91%,-,91%,-,86%,50%,100%,88%,81%,80%,83%
,2019,81%,81%,91%,81%,88%,97%,*,100%,*,100%,64%,100%,92%,88%,88%,83%
At Meets Grade Level or Above,2021,43%,45%,67%,38%,61%,76%,-,91%,-,73%,28%,75%,70%,54%,54%,52%
,2019,51%,52%,71%,50%,65%,83%,*,100%,*,79%,37%,63%,73%,66%,62%,58%
At Masters Grade Level,2021,24%,25%,42%,27%,35%,53%,-,55%,-,55%,8%,63%,45%,32%,31%,29%
,2019,25%,27%,43%,38%,36%,54%,*,89%,*,37%,19%,44%,44%,38%,32%,30%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,74%,46%,71%,81%,-,91%,-,86%,38%,63%,76%,67%,66%,69%
,2019,69%,70%,73%,58%,69%,82%,*,100%,*,68%,35%,69%,74%,71%,67%,61%
At Meets Grade Level or Above,2021,28%,29%,41%,27%,35%,48%,-,91%,-,59%,18%,63%,42%,35%,31%,31%
,2019,37%,38%,41%,23%,37%,48%,*,78%,*,42%,24%,38%,42%,39%,34%,31%
At Masters Grade Level,2021,14%,15%,21%,12%,18%,25%,-,36%,-,36%,7%,50%,22%,16%,12%,15%
,2019,21%,23%,21%,8%,20%,23%,*,44%,*,16%,8%,25%,21%,19%,17%,19%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,79%,56%,75%,86%,*,100%,-,84%,39%,82%,81%,68%,72%,64%
,2019,68%,67%,74%,60%,71%,80%,*,92%,*,76%,28%,73%,77%,67%,66%,64%
At Meets Grade Level or Above,2021,50%,51%,59%,36%,52%,71%,*,92%,-,68%,20%,45%,62%,47%,48%,37%
,2019,50%,50%,57%,23%,52%,67%,*,92%,*,72%,14%,32%,60%,47%,47%,41%
At Masters Grade Level,2021,12%,14%,13%,4%,10%,16%,*,31%,-,26%,2%,18%,14%,6%,8%,2%
,2019,11%,11%,13%,5%,10%,20%,*,33%,*,21%,1%,0%,15%,9%,6%,3%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,78%,56%,74%,86%,*,100%,-,94%,40%,100%,79%,70%,70%,52%
,2019,68%,69%,75%,54%,72%,81%,*,95%,-,79%,30%,55%,77%,66%,68%,54%
At Meets Grade Level or Above,2021,57%,58%,65%,37%,61%,74%,*,100%,-,65%,27%,67%,67%,54%,56%,33%
,2019,49%,50%,57%,26%,52%,68%,*,85%,-,67%,13%,36%,59%,48%,48%,25%
At Masters Grade Level,2021,11%,12%,9%,7%,7%,12%,*,33%,-,12%,1%,0%,9%,7%,4%,0%
,2019,8%,9%,7%,0%,5%,12%,*,20%,-,13%,1%,0%,8%,5%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,91%,65%,90%,93%,*,100%,-,100%,65%,100%,93%,82%,86%,83%
,2019,85%,84%,94%,89%,94%,95%,*,100%,-,96%,79%,100%,95%,92%,91%,94%
At Meets Grade Level or Above,2021,41%,44%,66%,35%,63%,73%,*,80%,-,79%,34%,77%,69%,56%,57%,54%
,2019,61%,61%,73%,59%,70%,78%,*,100%,-,85%,36%,75%,75%,67%,66%,70%
At Masters Grade Level,2021,23%,26%,41%,26%,37%,47%,*,80%,-,58%,10%,69%,44%,32%,34%,29%
,2019,37%,38%,51%,22%,49%,56%,*,100%,-,50%,14%,44%,54%,43%,44%,46%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,93%,79%,91%,97%,-,100%,-,100%,68%,100%,94%,87%,89%,84%
,2019,88%,88%,95%,74%,93%,99%,*,100%,*,100%,73%,91%,95%,96%,92%,88%
At Meets Grade Level or Above,2021,55%,57%,77%,63%,70%,90%,-,100%,-,94%,33%,86%,80%,63%,69%,57%
,2019,62%,63%,75%,43%,70%,84%,*,100%,*,81%,28%,55%,77%,68%,67%,52%
At Masters Grade Level,2021,22%,26%,43%,29%,35%,58%,-,100%,-,63%,13%,43%,46%,27%,33%,22%
,2019,25%,28%,38%,22%,31%,47%,*,65%,*,38%,5%,27%,38%,35%,29%,19%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,94%,100%,92%,97%,*,100%,*,91%,74%,100%,94%,93%,90%,81%
,2019,93%,93%,94%,97%,93%,95%,*,100%,-,94%,66%,100%,94%,94%,91%,83%
At Meets Grade Level or Above,2021,69%,70%,80%,67%,76%,86%,*,100%,*,82%,59%,80%,80%,76%,73%,51%
,2019,73%,75%,76%,69%,72%,84%,*,91%,-,78%,31%,78%,78%,70%,68%,47%
At Masters Grade Level,2021,43%,45%,51%,22%,45%,61%,*,70%,*,55%,25%,40%,52%,45%,43%,27%
,2019,45%,49%,45%,31%,40%,52%,*,73%,-,44%,13%,44%,46%,38%,32%,24%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,98%,*,96%,99%,-,100%,-,100%,*,-,98%,*,92%,*
At Meets Grade Level or Above,2021,69%,75%,78%,*,75%,81%,-,100%,-,80%,*,-,79%,*,69%,*
At Masters Grade Level,2021,14%,18%,10%,*,4%,15%,-,20%,-,0%,*,-,10%,*,4%,*
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,78%,57%,75%,84%,77%,96%,*,79%,45%,78%,80%,70%,70%,68%
,2019,78%,78%,84%,72%,81%,89%,86%,96%,100%,89%,51%,84%,85%,80%,78%,76%
At Meets Grade Level or Above,2021,41%,43%,51%,27%,46%,60%,62%,86%,*,58%,24%,47%,54%,42%,41%,37%
,2019,50%,51%,56%,37%,51%,66%,76%,86%,100%,62%,24%,48%,59%,49%,46%,42%
At Masters Grade Level,2021,18%,20%,23%,10%,20%,29%,8%,51%,*,27%,7%,24%,25%,17%,16%,14%
,2019,24%,25%,27%,15%,22%,34%,24%,56%,67%,29%,9%,23%,28%,22%,19%,16%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,76%,56%,72%,83%,71%,98%,-,77%,40%,73%,78%,68%,68%,64%
,2019,75%,75%,80%,67%,77%,86%,91%,95%,*,85%,41%,78%,82%,75%,73%,70%
At Meets Grade Level or Above,2021,45%,46%,50%,29%,45%,59%,57%,86%,-,55%,21%,39%,52%,42%,40%,34%
,2019,48%,49%,52%,32%,45%,62%,64%,80%,*,55%,18%,40%,54%,45%,41%,35%
At Masters Grade Level,2021,18%,20%,20%,8%,16%,26%,0%,48%,-,25%,5%,17%,21%,15%,13%,11%
,2019,21%,22%,20%,9%,16%,28%,9%,35%,*,24%,5%,14%,22%,17%,13%,10%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,80%,59%,77%,85%,80%,96%,-,77%,51%,89%,82%,73%,72%,74%
,2019,82%,82%,89%,79%,88%,92%,100%,95%,*,93%,64%,93%,90%,86%,85%,87%
At Meets Grade Level or Above,2021,37%,39%,51%,21%,46%,60%,60%,86%,-,56%,25%,53%,54%,42%,41%,43%
,2019,52%,53%,60%,38%,56%,69%,100%,91%,*,69%,29%,58%,63%,53%,51%,53%
At Masters Grade Level,2021,18%,19%,24%,9%,21%,29%,20%,54%,-,22%,8%,31%,25%,19%,17%,17%
,2019,26%,28%,32%,18%,27%,39%,33%,73%,*,36%,12%,31%,34%,26%,23%,23%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,62%,42%,59%,69%,-,91%,-,71%,27%,51%,64%,57%,55%,48%
,2019,68%,69%,70%,55%,65%,78%,*,95%,-,84%,27%,73%,72%,65%,61%,61%
At Meets Grade Level or Above,2021,30%,31%,31%,14%,25%,39%,-,64%,-,47%,13%,27%,32%,25%,22%,20%
,2019,38%,39%,39%,31%,34%,47%,*,70%,-,42%,11%,30%,42%,31%,30%,30%
At Masters Grade Level,2021,9%,9%,7%,0%,6%,8%,-,18%,-,8%,2%,11%,7%,6%,5%,3%
,2019,14%,15%,13%,10%,10%,17%,*,45%,-,14%,3%,3%,14%,9%,7%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,85%,64%,82%,90%,-,93%,-,87%,57%,88%,86%,78%,77%,77%
,2019,81%,82%,91%,78%,87%,97%,*,100%,*,100%,66%,86%,91%,88%,86%,81%
At Meets Grade Level or Above,2021,44%,45%,62%,38%,56%,71%,-,85%,-,70%,30%,67%,65%,48%,50%,46%
,2019,54%,55%,70%,47%,63%,81%,*,100%,*,80%,33%,56%,72%,63%,60%,51%
At Masters Grade Level,2021,20%,22%,34%,19%,28%,44%,-,67%,-,44%,9%,33%,37%,22%,23%,19%
,2019,25%,27%,38%,27%,31%,49%,*,75%,*,39%,15%,34%,39%,33%,28%,23%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,84%,60%,81%,88%,*,95%,*,89%,54%,77%,85%,78%,76%,73%
,2019,81%,81%,84%,79%,81%,89%,80%,100%,*,81%,52%,80%,85%,81%,78%,68%
At Meets Grade Level or Above,2021,49%,51%,60%,37%,55%,66%,*,95%,*,70%,36%,69%,61%,51%,49%,39%
,2019,55%,57%,59%,48%,54%,67%,80%,87%,*,59%,28%,52%,61%,52%,50%,37%
At Masters Grade Level,2021,29%,31%,35%,14%,31%,42%,*,52%,*,45%,15%,46%,37%,27%,25%,19%
,2019,33%,36%,33%,21%,30%,38%,20%,65%,*,30%,11%,32%,34%,27%,24%,20%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,26%,0%,21%,32%,*,67%,-,33%,13%,24%,28%,18%,16%,17%
,2019,35%,36%,35%,22%,30%,44%,-,71%,-,18%,17%,33%,38%,26%,24%,25%
Reading and Mathematics Including EOC,2021,24%,25%,26%,0%,21%,32%,*,67%,-,33%,13%,24%,28%,18%,16%,17%
,2019,35%,36%,35%,22%,30%,44%,-,71%,-,18%,17%,33%,38%,26%,24%,25%
Reading Including EOC,2021,38%,39%,42%,0%,35%,52%,*,67%,-,52%,19%,35%,43%,34%,31%,30%
,2019,45%,45%,45%,22%,39%,55%,-,71%,-,27%,18%,40%,46%,40%,33%,32%
Math Including EOC,2021,31%,31%,35%,0%,32%,39%,*,67%,-,38%,19%,47%,37%,25%,26%,32%
,2019,49%,48%,49%,22%,44%,58%,-,86%,-,41%,24%,60%,52%,39%,38%,42%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,28%,4%,21%,39%,-,-,-,54%,13%,29%,29%,22%,18%,9%
,2019,35%,36%,37%,24%,30%,50%,*,67%,-,39%,18%,35%,40%,28%,25%,19%
Reading and Mathematics Including EOC,2021,26%,27%,28%,4%,21%,39%,-,-,-,54%,13%,29%,29%,22%,18%,9%
,2019,35%,36%,37%,24%,30%,50%,*,67%,-,39%,18%,35%,40%,28%,25%,19%
Reading Including EOC,2021,36%,37%,37%,17%,30%,48%,-,-,-,62%,18%,33%,39%,30%,28%,13%
,2019,44%,45%,45%,33%,37%,61%,*,67%,-,48%,23%,39%,49%,36%,33%,26%
Math Including EOC,2021,36%,36%,43%,17%,34%,57%,-,-,-,69%,18%,50%,44%,37%,31%,23%
,2019,48%,49%,54%,29%,48%,65%,*,100%,-,65%,26%,61%,57%,46%,44%,43%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,37%,5%,31%,46%,-,71%,-,39%,19%,33%,38%,31%,25%,28%
,2019,44%,44%,47%,21%,40%,58%,-,86%,-,57%,20%,28%,49%,41%,37%,33%
Reading and Mathematics Including EOC,2021,34%,35%,37%,5%,31%,46%,-,71%,-,39%,19%,33%,38%,31%,25%,28%
,2019,44%,44%,47%,21%,40%,58%,-,86%,-,57%,20%,28%,49%,41%,37%,33%
Reading Including EOC,2021,46%,47%,48%,26%,42%,58%,-,86%,-,57%,26%,44%,49%,43%,36%,39%
,2019,54%,54%,57%,38%,50%,68%,-,86%,-,67%,28%,44%,59%,51%,47%,44%
Math Including EOC,2021,44%,45%,51%,10%,46%,60%,-,86%,-,48%,28%,44%,53%,43%,39%,43%
,2019,58%,59%,64%,42%,56%,77%,-,100%,-,81%,35%,47%,66%,57%,54%,51%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,29%,8%,24%,40%,-,*,-,25%,14%,28%,32%,21%,21%,19%
,2019,31%,32%,34%,16%,29%,40%,-,63%,-,50%,12%,27%,35%,30%,23%,23%
Reading and Mathematics Including EOC,2021,24%,26%,29%,8%,24%,40%,-,*,-,25%,14%,28%,32%,21%,21%,19%
,2019,31%,32%,34%,16%,29%,40%,-,63%,-,50%,12%,27%,35%,30%,23%,23%
Reading Including EOC,2021,32%,34%,36%,25%,31%,46%,-,80%,-,29%,14%,28%,39%,29%,27%,23%
,2019,37%,38%,38%,32%,32%,45%,-,63%,-,50%,13%,27%,38%,36%,26%,26%
Math Including EOC,2021,36%,38%,51%,13%,46%,61%,-,*,-,55%,27%,50%,55%,38%,42%,43%
,2019,48%,49%,57%,28%,52%,64%,-,88%,-,71%,24%,55%,59%,52%,47%,51%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,36%,24%,31%,44%,-,100%,-,52%,18%,30%,37%,35%,29%,32%
,2019,36%,39%,39%,25%,33%,48%,*,55%,-,53%,11%,45%,41%,31%,32%,29%
Reading and Mathematics Including EOC,2021,27%,29%,40%,24%,34%,49%,-,100%,-,52%,18%,32%,41%,36%,30%,34%
,2019,37%,40%,42%,25%,35%,52%,*,57%,-,55%,12%,45%,45%,32%,33%,30%
Reading Including EOC,2021,45%,47%,54%,38%,49%,61%,-,100%,-,60%,25%,36%,55%,50%,46%,47%
,2019,49%,51%,49%,36%,42%,60%,*,64%,-,60%,15%,55%,51%,42%,40%,34%
Math Including EOC,2021,32%,34%,49%,23%,44%,57%,-,100%,-,56%,23%,59%,51%,41%,37%,46%
,2019,48%,50%,61%,39%,55%,70%,*,79%,-,65%,25%,73%,65%,49%,50%,54%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,41%,14%,38%,47%,-,71%,-,38%,16%,20%,44%,32%,33%,36%
,2019,34%,35%,45%,35%,39%,58%,-,100%,*,45%,21%,33%,46%,42%,37%,30%
Reading and Mathematics Including EOC,2021,33%,34%,50%,23%,46%,57%,-,73%,-,55%,16%,50%,52%,40%,39%,43%
,2019,47%,48%,56%,41%,50%,69%,*,100%,*,47%,22%,38%,58%,50%,47%,44%
Reading Including EOC,2021,47%,48%,56%,35%,52%,63%,-,73%,-,55%,23%,50%,58%,48%,46%,47%
,2019,55%,56%,61%,48%,54%,73%,*,100%,*,47%,26%,50%,62%,56%,53%,48%
Math Including EOC,2021,43%,44%,68%,42%,66%,73%,-,91%,-,65%,30%,75%,71%,60%,59%,64%
,2019,62%,64%,76%,48%,73%,82%,*,100%,*,89%,36%,56%,78%,68%,68%,67%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,33%,10%,28%,42%,*,77%,-,40%,15%,28%,35%,27%,24%,23%
,2019,36%,37%,39%,24%,33%,49%,*,70%,*,43%,17%,32%,41%,33%,29%,26%
Reading and Mathematics Including EOC,2021,28%,29%,35%,12%,30%,45%,*,78%,-,43%,15%,31%,38%,28%,25%,25%
,2019,38%,39%,42%,25%,36%,52%,40%,73%,*,44%,17%,33%,44%,35%,32%,29%
Reading Including EOC,2021,41%,42%,46%,26%,40%,55%,*,81%,-,52%,21%,37%,48%,39%,36%,33%
,2019,47%,48%,49%,36%,43%,60%,40%,75%,*,50%,21%,41%,51%,44%,39%,35%
Math Including EOC,2021,37%,38%,50%,20%,45%,59%,*,88%,-,54%,24%,53%,53%,41%,40%,43%
,2019,52%,53%,60%,36%,55%,69%,100%,90%,*,68%,28%,57%,63%,52%,50%,52%
