Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,Econ_Disadv,ELL
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.75,0.63,0.7,0.85,0.66,0.68
Klein_ISD_Grade 3 Reading,Klein_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.75,0.63,0.7,0.85,0.66,0.68
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.77,0.56,0.68,0.94,0.65,0.68
Spring_Branch_ISD_Grade 5 Mathematics,Spring_Branch_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.77,0.56,0.68,0.94,0.65,0.68
Galena_Park_ISD_Grade 5 Science,Galena_Park_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.67,0.63,0.67,0.83,0.65,0.68
Galena_Park_ISD_Grade 5 Science,Galena_Park_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.67,0.63,0.67,0.83,0.65,0.68
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.75,0.6,0.67,0.91,0.64,0.68
Spring_Branch_ISD_Grade 3 Mathematics,Spring_Branch_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.75,0.6,0.67,0.91,0.64,0.68
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.66,0.51,0.67,0.84,0.62,0.68
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.66,0.51,0.67,0.84,0.62,0.68
Crosby_ISD_Grade 5 Science,Crosby_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.72,0.46,0.7,0.81,0.61,0.68
Crosby_ISD_Grade 5 Science,Crosby_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.72,0.46,0.7,0.81,0.61,0.68
Spring_ISD_Grade 3 Mathematics,Spring_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.61,0.51,0.66,0.75,0.59,0.68
Spring_ISD_Grade 3 Mathematics,Spring_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.61,0.51,0.66,0.75,0.59,0.68
Harmony_Schools_South_Grade 6 Reading,Harmony_Schools_South,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.73,0.77,0.7,0.87,0.72,0.67
Harmony_Schools_South_Grade 6 Reading,Harmony_Schools_South,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.73,0.77,0.7,0.87,0.72,0.67
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.78,0.36,0.75,0.86,0.71,0.67
Deer_Park_ISD_Grade 4 Reading,Deer_Park_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.78,0.36,0.75,0.86,0.71,0.67
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.73,0.7,0.72,0.8,0.7,0.67
Pasadena_ISD_Grade 3 Reading,Pasadena_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.73,0.7,0.72,0.8,0.7,0.67
Yes_Prep_Schools_Grade 8 Science,Yes_Prep_Schools,Grade 8 Science,At Approaches Grade Level or Above,2022,0.74,0.76,0.71,0.62,0.72,0.86,0.69,0.67
Yes_Prep_Schools_Grade 8 Science,Yes_Prep_Schools,Grade 8 Science,At Approaches Grade Level or Above,2022,0.74,0.76,0.71,0.62,0.72,0.86,0.69,0.67
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.77,0.71,0.68,0.91,0.67,0.67
Spring_Branch_ISD_Grade 3 Reading,Spring_Branch_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.77,0.71,0.68,0.91,0.67,0.67
Channelview_ISD_Grade 3 Reading,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.67,0.68,0.66,0.74,0.67,0.67
Channelview_ISD_Grade 3 Reading,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.67,0.68,0.66,0.74,0.67,0.67
Galena_Park_ISD_Grade 6 Reading,Galena_Park_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.67,0.57,0.68,0.81,0.66,0.67
Galena_Park_ISD_Grade 6 Reading,Galena_Park_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.67,0.57,0.68,0.81,0.66,0.67
Deer_Park_ISD_Grade 7 Mathematics,Deer_Park_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.74,0.62,0.71,0.79,0.66,0.67
Deer_Park_ISD_Grade 7 Mathematics,Deer_Park_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.74,0.62,0.71,0.79,0.66,0.67
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.66,0.59,0.68,0.69,0.66,0.67
Aldine_ISD_Grade 5 Reading,Aldine_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.66,0.59,0.68,0.69,0.66,0.67
Harmony_Schools_Grade 6 Mathematics,Harmony_Schools,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.69,0.63,0.63,0.86,0.65,0.67
Harmony_Schools_Grade 6 Mathematics,Harmony_Schools,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.69,0.63,0.63,0.86,0.65,0.67
Channelview_ISD_Grade 5 Science,Channelview_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.65,0.46,0.66,0.73,0.64,0.67
Channelview_ISD_Grade 5 Science,Channelview_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.65,0.46,0.66,0.73,0.64,0.67
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.67,0.53,0.66,0.89,0.62,0.67
Houston_ISD_Grade 3 Mathematics,Houston_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.67,0.53,0.66,0.89,0.62,0.67
Harmony_Schools_West_Grade 6 Mathematics,Harmony_Schools_West,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.4,0.66,0.6,0.41,0.88,0.6,0.67
Harmony_Schools_West_Grade 6 Mathematics,Harmony_Schools_West,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.4,0.66,0.6,0.41,0.88,0.6,0.67
Harmony_Schools_West_Grade 5 Science,Harmony_Schools_West,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.67,0.59,0.48,0.89,0.59,0.67
Harmony_Schools_West_Grade 5 Science,Harmony_Schools_West,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.67,0.59,0.48,0.89,0.59,0.67
Sheldon_ISD_Grade 4 Mathematics,Sheldon_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.6,0.46,0.63,0.72,0.58,0.67
Sheldon_ISD_Grade 4 Mathematics,Sheldon_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.6,0.46,0.63,0.72,0.58,0.67
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.76,0.74,0.61,0.71,0.73,0.66
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.76,0.74,0.61,0.71,0.73,0.66
Cypress_Fairbanks_ISD_Grade 6 Reading,Cypress_Fairbanks_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.77,0.65,0.74,0.89,0.7,0.66
Cypress_Fairbanks_ISD_Grade 6 Reading,Cypress_Fairbanks_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.77,0.65,0.74,0.89,0.7,0.66
Yes_Prep_Schools_Grade 8 Reading,Yes_Prep_Schools,Grade 8 Reading,At Approaches Grade Level or Above,2021,0.73,0.74,0.71,0.62,0.71,0.81,0.7,0.66
Yes_Prep_Schools_Grade 8 Reading,Yes_Prep_Schools,Grade 8 Reading,At Approaches Grade Level or Above,2021,0.73,0.74,0.71,0.62,0.71,0.81,0.7,0.66
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.77,0.57,0.74,0.83,0.69,0.66
Deer_Park_ISD_Grade 5 Reading,Deer_Park_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.77,0.57,0.74,0.83,0.69,0.66
Cypress_Fairbanks_ISD_Grade 6 Mathematics,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.77,0.63,0.72,0.92,0.68,0.66
Cypress_Fairbanks_ISD_Grade 6 Mathematics,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.77,0.63,0.72,0.92,0.68,0.66
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.67,0.68,0.65,0.7,0.68,0.66
Alief_ISD_Grade 5 Reading,Alief_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.67,0.68,0.65,0.7,0.68,0.66
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.72,0.66,0.69,0.92,0.67,0.66
Houston_ISD_Grade 3 Reading,Houston_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.72,0.66,0.69,0.92,0.67,0.66
Deer_Park_ISD_Grade 6 Reading,Deer_Park_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.75,0.43,0.72,0.82,0.67,0.66
Deer_Park_ISD_Grade 6 Reading,Deer_Park_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.75,0.43,0.72,0.82,0.67,0.66
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.73,0.52,0.74,0.75,0.67,0.66
La_Porte_ISD_Grade 4 Mathematics,La_Porte_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.73,0.52,0.74,0.75,0.67,0.66
Crosby_ISD_Grade 7 Reading,Crosby_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.7,0.64,0.68,0.74,0.67,0.66
Crosby_ISD_Grade 7 Reading,Crosby_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.7,0.64,0.68,0.74,0.67,0.66
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.67,0.69,0.63,0.74,0.67,0.66
Alief_ISD_Grade 3 Reading,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.67,0.69,0.63,0.74,0.67,0.66
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.71,0.65,0.69,0.91,0.66,0.66
Houston_ISD_Grade 4 Reading,Houston_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.71,0.65,0.69,0.91,0.66,0.66
Yes_Prep_Schools_Grade 7 Mathematics,Yes_Prep_Schools,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.67,0.51,0.68,0.63,0.66,0.66
Yes_Prep_Schools_Grade 7 Mathematics,Yes_Prep_Schools,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.67,0.51,0.68,0.63,0.66,0.66
Galena_Park_ISD_Grade 6 Mathematics,Galena_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.67,0.66,0.67,0.69,0.65,0.66
Galena_Park_ISD_Grade 6 Mathematics,Galena_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.67,0.66,0.67,0.69,0.65,0.66
Harmony_Schools_South_Grade 6 Mathematics,Harmony_Schools_South,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.67,0.67,0.64,0.69,0.65,0.66
Harmony_Schools_South_Grade 6 Mathematics,Harmony_Schools_South,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.67,0.67,0.64,0.69,0.65,0.66
Spring_Branch_ISD_Grade 4 Mathematics,Spring_Branch_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.76,0.59,0.67,0.92,0.64,0.66
Spring_Branch_ISD_Grade 4 Mathematics,Spring_Branch_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.76,0.59,0.67,0.92,0.64,0.66
Humble_ISD_Grade 7 Reading,Humble_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.75,0.62,0.73,0.84,0.64,0.66
Humble_ISD_Grade 7 Reading,Humble_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.75,0.62,0.73,0.84,0.64,0.66
Pasadena_ISD_Grade 6 Mathematics,Pasadena_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.64,0.56,0.65,0.62,0.63,0.66
Pasadena_ISD_Grade 6 Mathematics,Pasadena_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.64,0.56,0.65,0.62,0.63,0.66
Crosby_ISD_Grade 3 Mathematics,Crosby_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.67,0.41,0.69,0.72,0.59,0.66
Crosby_ISD_Grade 3 Mathematics,Crosby_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.67,0.41,0.69,0.72,0.59,0.66
Katy_ISD_Grade 7 Mathematics,Katy_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.68,0.51,0.63,0.8,0.57,0.66
Katy_ISD_Grade 7 Mathematics,Katy_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.68,0.51,0.63,0.8,0.57,0.66
Humble_ISD_Grade 3 Mathematics,Humble_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.7,0.55,0.67,0.83,0.56,0.66
Humble_ISD_Grade 3 Mathematics,Humble_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.7,0.55,0.67,0.83,0.56,0.66
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.69,0.58,0.59,0.75,0.53,0.66
Katy_ISD_Grade 4 Reading,Katy_ISD,Grade 4 Reading,At Meets Grade Level or Above,2022,0.54,0.55,0.69,0.58,0.59,0.75,0.53,0.66
Harmony_Schools_Grade 6 Reading,Harmony_Schools,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.71,0.69,0.65,0.86,0.67,0.65
Harmony_Schools_Grade 6 Reading,Harmony_Schools,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.71,0.69,0.65,0.86,0.67,0.65
Harmony_Schools_South_Grade 7 Mathematics,Harmony_Schools_South,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.68,0.65,0.65,0.85,0.66,0.65
Harmony_Schools_South_Grade 7 Mathematics,Harmony_Schools_South,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.68,0.65,0.65,0.85,0.66,0.65
La_Porte_ISD_Grade 7 Reading,La_Porte_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.7,0.55,0.71,0.71,0.66,0.65
La_Porte_ISD_Grade 7 Reading,La_Porte_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.7,0.55,0.71,0.71,0.66,0.65
Harmony_Schools_Grade 5 Reading,Harmony_Schools,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.71,0.72,0.66,0.74,0.65,0.65
Harmony_Schools_Grade 5 Reading,Harmony_Schools,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.71,0.72,0.66,0.74,0.65,0.65
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.65,0.63,0.62,0.63,0.65,0.65
Alief_ISD_Grade 6 Mathematics,Alief_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.65,0.63,0.62,0.63,0.65,0.65
Spring_ISD_Grade 4 Reading,Spring_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.66,0.63,0.67,0.75,0.64,0.65
Spring_ISD_Grade 4 Reading,Spring_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.66,0.63,0.67,0.75,0.64,0.65
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.75,0.62,0.65,0.93,0.63,0.65
Spring_Branch_ISD_Grade 5 Reading,Spring_Branch_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.75,0.62,0.65,0.93,0.63,0.65
Goose_Creek_ISD_Grade 5 Science,Goose_Creek_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.66,0.52,0.66,0.76,0.63,0.65
Goose_Creek_ISD_Grade 5 Science,Goose_Creek_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.66,0.52,0.66,0.76,0.63,0.65
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.64,0.52,0.67,0.72,0.63,0.65
Sheldon_ISD_Grade 3 Reading,Sheldon_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.64,0.52,0.67,0.72,0.63,0.65
Goose_Creek_ISD_Grade 6 Mathematics,Goose_Creek_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.67,0.55,0.69,0.7,0.63,0.65
Goose_Creek_ISD_Grade 6 Mathematics,Goose_Creek_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.67,0.55,0.69,0.7,0.63,0.65
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.72,0.53,0.66,0.81,0.62,0.65
Deer_Park_ISD_Grade 3 Mathematics,Deer_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.72,0.53,0.66,0.81,0.62,0.65
Channelview_ISD_Grade 5 Reading,Channelview_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.65,0.45,0.68,0.55,0.62,0.65
Channelview_ISD_Grade 5 Reading,Channelview_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.65,0.45,0.68,0.55,0.62,0.65
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.6,0.46,0.64,0.61,0.6,0.65
Aldine_ISD_Grade 5 Mathematics,Aldine_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.6,0.46,0.64,0.61,0.6,0.65
Spring_ISD_Grade 4 Mathematics,Spring_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.61,0.52,0.65,0.67,0.59,0.65
Spring_ISD_Grade 4 Mathematics,Spring_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.61,0.52,0.65,0.67,0.59,0.65
Humble_ISD_Grade 6 Mathematics,Humble_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.72,0.56,0.68,0.87,0.58,0.65
Humble_ISD_Grade 6 Mathematics,Humble_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.72,0.56,0.68,0.87,0.58,0.65
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.68,0.51,0.62,0.84,0.57,0.65
Cypress_Fairbanks_ISD_Grade 3 Mathematics,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.68,0.51,0.62,0.84,0.57,0.65
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.66,0.46,0.53,0.73,0.46,0.65
Katy_ISD_Grade 5 Mathematics,Katy_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.66,0.46,0.53,0.73,0.46,0.65
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.79,0.85,0.78,0.8,0.75,0.64
La_Porte_ISD_Grade 3 Reading,La_Porte_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.79,0.85,0.78,0.8,0.75,0.64
Beta_Academy_Grade 6 Reading,Beta_Academy,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.73,0.73,0.78,0.4,0.72,0.64
Beta_Academy_Grade 6 Reading,Beta_Academy,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.73,0.73,0.78,0.4,0.72,0.64
Deer_Park_ISD_Grade 5 Science,Deer_Park_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.75,0.48,0.7,0.83,0.64,0.64
Deer_Park_ISD_Grade 5 Science,Deer_Park_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.75,0.48,0.7,0.83,0.64,0.64
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.72,0.44,0.66,0.83,0.64,0.64
Deer_Park_ISD_Grade 3 Reading,Deer_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.72,0.44,0.66,0.83,0.64,0.64
Klein_ISD_Grade 5 Science,Klein_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.73,0.6,0.65,0.86,0.63,0.64
Klein_ISD_Grade 5 Science,Klein_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.73,0.6,0.65,0.86,0.63,0.64
Channelview_ISD_Grade 3 Reading,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.63,0.52,0.63,0.78,0.61,0.64
Channelview_ISD_Grade 3 Reading,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.63,0.52,0.63,0.78,0.61,0.64
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.66,0.57,0.65,0.74,0.61,0.64
Goose_Creek_ISD_Grade 3 Reading,Goose_Creek_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.66,0.57,0.65,0.74,0.61,0.64
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.63,0.57,0.61,0.69,0.61,0.64
Alief_ISD_Grade 4 Mathematics,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.63,0.57,0.61,0.69,0.61,0.64
Humble_ISD_Grade 6 Mathematics,Humble_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.73,0.57,0.69,0.89,0.6,0.64
Humble_ISD_Grade 6 Mathematics,Humble_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.73,0.57,0.69,0.89,0.6,0.64
Klein_ISD_Grade 4 Reading,Klein_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.7,0.58,0.64,0.81,0.6,0.64
Klein_ISD_Grade 4 Reading,Klein_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.7,0.58,0.64,0.81,0.6,0.64
Goose_Creek_ISD_Grade 5 Science,Goose_Creek_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.64,0.46,0.65,0.75,0.6,0.64
Goose_Creek_ISD_Grade 5 Science,Goose_Creek_ISD,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.64,0.46,0.65,0.75,0.6,0.64
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.69,0.58,0.63,0.81,0.59,0.64
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.69,0.58,0.63,0.81,0.59,0.64
Channelview_ISD_Grade 3 Mathematics,Channelview_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.61,0.46,0.62,0.67,0.59,0.64
Channelview_ISD_Grade 3 Mathematics,Channelview_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,0.62,0.62,0.61,0.46,0.62,0.67,0.59,0.64
Channelview_ISD_Grade 4 Mathematics,Channelview_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.59,0.39,0.6,0.57,0.57,0.64
Channelview_ISD_Grade 4 Mathematics,Channelview_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.59,0.39,0.6,0.57,0.57,0.64
Spring_ISD_Grade 5 Mathematics,Spring_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.58,0.46,0.63,0.7,0.56,0.64
Spring_ISD_Grade 5 Mathematics,Spring_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.58,0.46,0.63,0.7,0.56,0.64
Crosby_ISD_Grade 4 Mathematics,Crosby_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.63,0.38,0.65,0.66,0.56,0.64
